listing_id,listing_name,room_type,minimum_nights,price,host_id,host_name,is_superhost,created_at,updated_at
9804273,"Ruhig, kompakte Wohnung mit Balkon",Entire home/apt,1,25.0,11662035,Maxim,f,2025-01-16 13:47:49+00:00,2025-01-16 13:47:49
43247575,aletto Hotel Kudamm,Hotel room,1,0.0,312172749,Aletto Hotel Kudamm,f,2025-01-16 13:37:39+00:00,2025-01-16 13:37:39
21905096,Gemütliches Zimmer in Neukölln,Private room,2,58.0,37211535,Rachel,f,2025-01-16 13:37:16+00:00,2025-01-16 13:37:16
51082687,Close to Alexander Platz,Entire home/apt,1,80.0,262470855,Marta,f,2025-01-16 13:16:42+00:00,2025-01-16 13:16:42
1269149,"Room in Berlin, close to center",Private room,8,12.0,2692472,Ιάσων,f,2025-01-16 13:16:29+00:00,2025-01-16 13:16:29
42246071,"Simple, warm and cosy",Entire home/apt,3,100.0,18314951,Camille,f,2025-01-16 13:15:38+00:00,2025-01-16 13:15:38
51751556,Berlin Prenzlauer Berg Apartment.,Private room,5,50.0,205705714,Natalie,f,2025-01-16 13:14:55+00:00,2025-01-16 13:14:55
6932886,Apartment by East Side Gallery,Entire home/apt,1,60.0,35120985,Ta,f,2025-01-16 13:13:19+00:00,2025-01-16 13:13:19
20569242,Magic Studio,Entire home/apt,1,40.0,146921416,Josef,f,2025-01-16 13:11:02+00:00,2025-01-16 13:11:02
